Date,Open,High,Low,Close,Adj Close,Volume
2016-09-22,8.086790,8.149900,8.031560,8.039450,7.960910,15631907
2016-09-23,8.027610,8.149900,7.956610,8.059170,7.980439,26865928
2016-09-26,7.968440,8.067060,7.731760,7.763310,7.687469,34575861
2016-09-27,7.751480,7.854040,7.652860,7.775150,7.699193,21935716
2016-09-28,7.850100,7.960550,7.739650,7.854040,7.777312,18274750
2016-09-29,7.881660,8.043390,7.854040,7.952660,7.874969,21351449
2016-09-30,7.948720,8.011830,7.893490,7.976330,7.898407,13907227
2016-10-10,8.023670,8.114400,7.889550,8.086790,8.007789,19207207
2016-10-11,8.106510,8.157790,7.976330,8.031560,7.953098,20748601
2016-10-12,8.078900,8.122290,7.960550,8.051280,7.972626,15934918
2016-10-13,8.063120,8.796840,8.027610,8.595660,8.511687,73310156
2016-10-14,8.599610,8.777120,8.532550,8.662720,8.578092,39385666
2016-10-17,8.650890,8.706120,8.481260,8.532550,8.449194,24398134
2016-10-18,8.552270,8.706120,8.461540,8.639050,8.554653,21555562
2016-10-19,8.698230,8.725840,8.603550,8.643000,8.558564,28902983
2016-10-20,8.643000,9.096650,8.635110,8.958580,8.871062,58842329
2016-10-21,8.994080,9.057200,8.828400,8.883630,8.796843,30755305
2016-10-24,8.946750,9.033530,8.721890,8.883630,8.796843,26062561
2016-10-25,8.871800,8.875740,8.662720,8.670610,8.585905,29874197
2016-10-26,8.757400,8.792900,8.524660,8.639050,8.554653,24927371
2016-10-27,8.639050,8.678500,8.497040,8.674560,8.589815,14510532
2016-10-28,8.757400,8.887570,8.650890,8.682450,8.597630,21800555
2016-10-31,8.650890,8.887570,8.552270,8.836290,8.749967,25244679
2016-11-01,8.836290,9.171600,8.777120,8.907300,8.820283,31416037
2016-11-02,8.907300,9.013810,8.840240,8.915190,8.828095,21340295
2016-11-03,8.915190,8.915190,8.702170,8.785010,8.699187,18615267
2016-11-04,8.757400,8.844180,8.607500,8.619330,8.535127,17384920
2016-11-07,8.710060,8.714000,8.489150,8.516770,8.433568,14251082
2016-11-08,8.524660,8.571990,8.366860,8.449700,8.367153,31682932
2016-11-09,8.497040,8.650890,8.280080,8.441820,8.359350,32662550
2016-11-10,8.493100,8.575940,8.366860,8.441820,8.359350,23791386
2016-11-11,8.410260,8.457590,8.177520,8.232740,8.152313,41552660
2016-11-14,8.216960,8.500990,8.216960,8.362920,8.281221,28955473
